"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP055871",2686,"2015-11-17","Iowa State University","Schnable Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Genetic networks regulating structure and function of the maize shoot apical meristem",NA,"PRJNA277023",NA,"The shoot apical meristem (SAM) is responsible for development of all above ground organs in the plant. SAM structure and function correlates with agronomically-important adult traits in the maize plant, and is also affected by planting density and shade stresses induced by agricultural environments. Our ultimate goals are to understand the regulatory networks controlling SAM structure and function, and the responses of these networks to environmental stresses",NA,"2015"
"SRP026161",2426,"2015-10-24","Chinese Academy of Agricultural Sciences","Maize Genetics","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA208608",NA,"We explored the gene expression profiles of developing maize kernel by RNA sequencing. Our purpose was to explore the sequence diversity across the inbred lines, especially in the gene regions, and to discover the gene regulatory networks employed in immature maize kernels.",NA,"2015"
"SRP017122",1381,"2014-06-01","Academia Sinica",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA179196","2012-11-04","To discover the transcriptional dynamics during seed germination we have obtained the time course transcriptomes for embryonic shoot apical meristem (SAM) every six hours, starting from dry seeds to hour 72 (3 days).",NA,"2014"
"SRP026016",1374,"2015-10-29","MSU-BUELL",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Genome sequencing",NA,"PRJNA208216",NA,"Zea mays subsp. mays BSA Genome sequencing.",NA,"2015"
"SRP012211",1346,"2015-07-03","JGI",NA,"ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays Genome sequencing and assembly","JGI Portal For Zea mays: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1008716&","11694","2010-09-14","Genotyping by sequencing in maize",NA,"2015"
"SRP047159",1285,"2014-09-30","Helmholtz Zentrum Munich","PGSB","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Variation",NA,"PRJNA260788",NA,"The Consortium Synbreed ?Synergistic Plant and Animal Breeding uses next-generation sequencing in maize for the analysis of native biodiversity and population genomic analyses. Synbreed is funded by the German Federal Ministry of Education and Research (BMBF) within the scope of the competitive grants program ?Networks of excellence in agricultural and nutrition research? (Funding ID: 0315526).",NA,"2014"
"SRP018753",1247,"2015-08-30","MSU-BUELL",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Transcriptome or Gene expression",NA,"PRJNA189400","2013-02-13","Zea mays subsp. mays Pan Transcriptome",NA,"2015"
"SRP010764",1224,"2013-07-29",NA,NA,"ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays subsp. maysGenome sequencing",NA,"Genome-wide genetic changes during modern breeding of maize",NA,"The success of modern maize breeding has been well demonstrated by a remarkable increase of productivity over the last four decades. Yet the underlying genetic changes correlated with the genetic gain throughout the breeding process remain largely unknown at the genome-wide level. We report here the sequencing of 278 temperate maize inbred lines from different stages of breeding history, including deep resequencing of four lines with known pedigree information. Our results show that modern breeding has introduced highly dynamic genetic changes into the maize genome. Artificial selection has affected thousands of targets including genes and non-genic regions, leading to apparent reduction of nucleotide diversity and increase in the proportion of rare alleles. Genetic changes during breeding happen rapidly, with extensive variation (SNPs, Indels and CNVs) even within the identity-by-descent regions.",NA,"2013"
"SRP011907",964,"2013-07-29","Cold Spring Harbor Laboratory","Ware Lab","ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Capturing Extant Variation from a Genome in Flux: Maize HapMap II",NA,"Maize_HapMap2_study","2012-03-22","A comprehensive characterization of genetic variation across 103 inbred lines representing a wide breadth of the Zea mays lineage: 60 improved maize lines including the parents of the maize nested association mapping (NAM) population, 23 maize landraces, and 19 wild relatives.","These sequence reads were generated for the Maize HapMap2 project, which characterises SNPs and structural variations in the Zea mays lineage.","2013"
"SRP014652",639,"2013-07-29","MSU-BUELL",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Transcriptome or Gene expression",NA,"PRJNA171684","2012-07-31","Zea mays subsp. mays Transcriptome or Gene expression Atlas.",NA,"2013"
